DataHora,Manchete,Direção,Previsão
2024-12-23 09:31:00,Citi retoma cobertura de Cosan com recomendação de compra e preço-alvo a R$ 19,Diminuição,1
2024-12-23 09:31:00,Banco acredita que empresa deve apresentar melhores resultados nos próximos trimestres,Diminuição,1
2024-12-23 10:03:00,MERCADOS: dolar e juros sobem com exterior e fiscal,Diminuição,-1
2024-12-23 10:10:00,EMPRESAS: Equatorial autoriza empréstimo de R$ 300 milhões do BNDES para controlada,Diminuição,-1
2024-12-23 10:13:00,"Ibovespa encerra os leilões em queda de 0,46%, aos 121.545,56 pontos",Aumento,1
2024-12-23 10:27:00,Acompanhe a movimentação das principais ações do Ibovespa:,Diminuição,1
2024-12-23 10:34:00,"EUA/Fed de Chicago: indice de atividade nacional em novembro sobe a -0,12, de -0,50% (revisado de -0,40%)",Aumento,1
2024-12-23 10:41:00,Maiores altas do Ibovespa:,Aumento,1
2024-12-23 10:41:00,Maiores baixas do Ibovespa:,Aumento,1
2024-12-23 10:43:00,"Moody Äôs Local reitera nota de crédito nacional ""AAA.br"" da Sabesp, mantendo perspectiva estável",Aumento,1
2024-12-23 10:43:00,"Nota reflete fluxo de caixa estável e previsível da companhia, impulsionado por baixa elasticidade de demanda",Aumento,1
2024-12-23 10:43:00,"Visão de crédito reflete também intensivo programa de investimentos e moderada alavancagem, diz agência de classificação de risco",Aumento,-1
2024-12-23 10:47:00,EMPRESAS: Arsesp aprova primeiro aditivo do contrato de concessão com URAE 1 Äì Sudeste,Diminuição,-1
2024-12-23 10:54:00,EMPRESAS: Oi ON sobe mais de 6% após proposta para venda de operação de TV por assinatura,Aumento,1
2024-12-23 10:55:00,Mensagem apagada,Aumento,-1
2024-12-23 11:00:00,"Bradesco BBI corta preço-alvo de Eletrobras ON de R$ 69 para R$ 60; PNB foi de R$ 59 para R$ 55, com recomendação de compra",Aumento,-1
2024-12-23 11:00:00,Banco mantém perspectivas positivas sobre a companhia nos próximos trimestres,Aumento,1
2024-12-23 11:18:00,EMPRESAS: Sabesp sobe após primeiro aditivo ao contrato de concessão,Diminuição,-1
2024-12-23 11:30:00,"BALANáOS: IRB registra lucro líquido de R$ 24,2 milhões em outubro",Aumento,1
2024-12-23 11:30:00,"Companhia arrecadou R$ 481,9 milhões em prêmio no período, com sinistralidade de 78,2% no mês",Aumento,1
2024-12-23 11:31:00,"NY/Abertura: Dow -0,14% (42.780,79); S&P 0,15% (5.940,02) e Nasdaq 0,41% (19.652,35)",Aumento,-1
2024-12-23 11:51:00,"BTG reforça recomendação de compra para Eletrobras ON, com preço-alvo a R$ 59",Diminuição,1
2024-12-23 11:51:00,"Dividendos anunciados na última semana dão indicativos das mudanças de política de pagamentos, avalia o banco",Diminuição,-1
2024-12-23 11:52:00,"MERCADOS: Fiscal e piora das projeções para juros e inflação derrubam Ibovespa, enquanto dolar e juros avançam",Aumento,-1
2024-12-23 12:28:00,"EUA/Conference Board: Confiança ao Consumidor de outubro cai a 104,7, ante consenso de 114",Diminuição,1
2024-12-23 12:32:00,Mensagem apagada,Diminuição,-1
2024-12-23 12:32:00,"EUA: Vendas de moradias novas em novembro sobem 5,9%, a 664 mil, ante previsão de 10,7%",Diminuição,1
2024-12-23 12:37:00,"EUA/Depto do Comércio: Encomendas de bens duráveis de novembro caem 1,1%, ante consenso de -0,3%",Aumento,-1
2024-12-23 12:39:00,"EMPRESAS: BB Seguridade irá pagar R$ 7,11 bilhões em dividendos",Aumento,-1
2024-12-23 13:05:00,"EMPRESAS: Após divulgar resultados financeiros, IRB fica entre as maiores altas",Aumento,1
2024-12-23 13:16:00,EMPRESAS: Brava confirma rescisão de contrato com a Petrobras,Diminuição,-1
2024-12-23 13:18:00,BC: Fluxo cambial negativo em dezembro reflete sazonalidade de dividendos,Aumento,-1
2024-12-23 13:35:00,"Europa/Fechamento: FTSE100 de Londres sobe 0,15%; DAX de Frankfurt cai 0,23%; CAC40 de Paris recua 0,07%",Aumento,-1
2024-12-23 13:35:00,"indice Stoxx600 fecha em alta de 0,07%, aos 502,55 pontos",Aumento,1
2024-12-23 13:41:00,EMPRESAS: Hypera lidera altas em movimento de ajuste,Diminuição,1
2024-12-23 13:58:00,MERCADOS: Bolsas europeias fecham com oscilações modestas em meio a semana de baixa liquidez,Aumento,1
2024-12-23 14:01:00,Israel: Netanyahu reconhece algum avanço em negociações de cessar-fogo com Hamas,Aumento,-1
2024-12-23 14:21:00,Governo avalia que mercado erra ao desconsiderar impacto do Fundeb no pacote fiscal,Aumento,-1
2024-12-23 14:29:00,Suzano comunica a clientes asiáticos aumento de US$ 20 por tonelada de celulose (fontes do Broadcast),Diminuição,1
2024-12-23 14:33:00,Aumento da Suzano na Europa e na América do Norte é de US$ 100 a tonelada da celulose (fontes do Broadcast),Aumento,1
2024-12-23 14:34:00,"Juro real dispara e encosta em 10%, maior nível desde 2008",Aumento,1
2024-12-23 14:34:00,"dolar à vista sobe 1,94%, a R$ 6,1901, na máxima do dia",Aumento,1
2024-12-23 14:41:00,EMPRESAS: Suzano amplia ganhos com notícia sobre aumento do preço da celulose,Aumento,1
2024-12-23 14:42:00,"Taxa Ptax fecha em R$ 6,1612, alta de 1,37%",Aumento,1
2024-12-23 14:44:00,EMPRESAS/EUA: ìrgão regulador processa Walmart por abertura ilegal de contas para entregadores,Aumento,-1
2024-12-23 14:49:00,Decisão de Dino deve pressionar Hugo Motta a avançar com PEC que obriga o pagamento de emendas,Diminuição,-1
2024-12-23 14:53:00,Jaques Wagner: Saúde de Lula não é problema para 2026 e decisão será dele,Diminuição,-1
2024-12-23 14:58:00,Suzano confirma aumento de preços da celulose a partir de 1o de janeiro,Diminuição,1
2024-12-23 15:03:00,EMPRESAS: BB Seguridade realiza e distribuição de dividendos fica para segundo plano,Aumento,-1
2024-12-23 15:06:00,MDIC: Balança registra déficit comercial de US$ 283 milhões na 3a semana de dezembro,Aumento,1
2024-12-23 15:06:00,"Exportações somam US$ 5,616 bi; importações atingem US$ 5,898 bi na 3a semana",Aumento,1
2024-12-23 15:06:00,"Superávit acumulado no mês é de US$ 1,297 bi; no ano, superávit alcança US$ 71,153 bi",Aumento,1
2024-12-23 15:09:00,"MERCADOS: Risco fiscal e ruído político mantêm dolar e juros em alta; Ibovespa recua, enquanto bolsas em NY seguem mistas",Aumento,-1
2024-12-23 15:12:00,"Cobre recua com avanço do dolar sobre os pares (DXY 0,47%) em semana de liquidez reduzida",Aumento,1
2024-12-23 15:12:00,"Na Comex, o contrato para março caiu 0,38%, a US$ 4,0850 por libra-peso",Aumento,1
2024-12-23 15:12:00,"Na LME, o contrato para três meses tinha baixa de 0,30% há pouco, para US$ 8.917,50 por tonelada",Aumento,1
2024-12-23 15:25:00,China tomará medidas para proteger direitos contra investigação dos EUA sobre chips,Aumento,-1
2024-12-23 15:43:00,MERCADOS: Ouro recua com avanço do dolar e dos juros dos Treasuries,Aumento,-1
2024-12-23 15:48:00,"EMPRESAS: Dona do iFood e da OLX anuncia acordo para comprar Decolar por US$ 1,7 bilhão",Diminuição,1
2024-12-23 16:02:00,"Pacote fiscal pode ajudar a interromper espiral negativa do mercado, mas há necessidade de mais medidas, avalia Barclays",Diminuição,-1
2024-12-23 16:05:00,EMPRESAS: Crescimento da Despegar contrasta com desempenho da concorrente CVC,Diminuição,1
2024-12-23 16:39:00,"EMPRESAS: Em destaque entre as maiores altas, Suzano recupera R$ 2 bi em valor de mercado",Diminuição,1
2024-12-23 16:45:00,"Petróleo/fechamento: Brent para fevereiro fecha em baixa de 0,42%, a US$ 72,63 por barril, na ICE",Diminuição,1
2024-12-23 16:45:00,"WTI para fevereiro registra queda de 0,31%, a US$ 69,24 por barril, na Nymex",Diminuição,1
2024-12-23 16:52:00,MERCADOS: Petróleo recua com dolar forte e dados fracos nos EUA aumentando incerteza sobre demanda,Aumento,-1
2024-12-23 16:56:00,"Patrícia Baran assume diretoria-geral da ANP interinamente, após fim de mandato de Rodolfo Saboia",Diminuição,-1
2024-12-23 16:56:00,"Ela ficará no posto até a aprovação pelo Senado do nome de Artur Watt Neto, indicado por Lula para comandar a Agência",Diminuição,-1
2024-12-23 17:01:00,"dolar à vista fecha em alta de 1,86%, a R$ 6,1851, após oscilar entre R$ 6,1091 e R$ 6,2010",Diminuição,1
2024-12-23 17:11:00,"MERCADOS: BC não aparece e dolar volta a testar os R$ 6,20 com fluxo de remessas e risco fiscal",Aumento,-1
2024-12-23 17:35:00,PDT vai ao STF pedir suspensão da última decisão do Copom,Diminuição,-1
2024-12-26 09:02:00,"dolar cai a R$ 6,1591 (-0,42%) e dolar futuro a R$ 6,1620 (-0,69%)",Aumento,1
2024-12-26 09:02:00,Juros futuros abrem em alta,Aumento,1
2024-12-26 09:02:00,"Ibovespa futuro cai 0,06% (122.095)",Aumento,1
2024-12-26 09:23:00,MERCADOS: dolar oscila em meio a um novo leilão e juros sobem com exterior e fiscal,Diminuição,-1
2024-12-26 09:31:00,"BC vende oferta integral de US$ 3 bi em leilão à vista, com diferencial de corte, de 0,000100",Diminuição,-1
2024-12-26 09:53:00,Palestina: Israel mata cinco jornalistas da TV Al Quds em ataque a carro,Diminuição,-1
2024-12-26 09:53:00,"Até agora, maios de 130 repórteres palestinos foram mortos desde o início dos ataques israelenses contra a Faixa de Gaza",Diminuição,-1
2024-12-26 10:09:00,"Ibovespa encerra os leilões em alta de 0,21%, aos 121.020,48 pontos",Aumento,1
2024-12-26 10:15:00,Acompanhe a movimentação das principais ações do Ibovespa:,Aumento,1
2024-12-26 10:27:00,EMPRESAS: Embraer recua após acidente envolvendo aeronave da companhia,Aumento,-1
2024-12-26 10:30:00,"EUA/Depto do Trabalho: Pedidos de auxílio-desemprego ficam em 219 mil, ante 224 mil no consenso",Aumento,-1
2024-12-26 10:44:00,Maiores altas do Ibovespa:,Aumento,1
2024-12-26 10:44:00,Maiores baixas do Ibovespa:,Aumento,1
2024-12-26 11:05:00,"EMPRESAS: Petroleiras operam em alta, seguindo o petróleo",Aumento,1
2024-12-26 11:10:00,Lira chama líderes partidários para reunião hoje à tarde,Aumento,-1
2024-12-26 11:10:00,"Encontro ocorre após Flávio Dino (STF) determinar o bloqueio de R$ 4,2 bi em emendas parlamentares com assinatura de 17 líderes de bancadas",Aumento,-1
2024-12-26 11:10:00,Lira diz que a reunião de hoje irá tratar da eleição da Mesa Diretora da Casa,Aumento,-1
2024-12-26 11:16:00,EUA: Pedidos contínuos de auxílio atingem o nível mais alto em mais de três anos,Diminuição,-1
2024-12-26 11:31:00,"NY/Abertura: Dow Jones -0,37% (43.135,22); S&P -0,27% (6.023,82) e Nasdaq -0,24% (19.983,73)",Aumento,-1
2024-12-26 11:34:00,"Bradesco BBI reitera recomendação de compra para MRV, com preço-alvo a R$ 15",Diminuição,1
2024-12-26 11:34:00,"Em 2025, companhia irá trabalhar para reduzir preocupações do mercado em torno de sua complexidade, diz o banco",Diminuição,-1
2024-12-26 11:50:00,"EMPRESAS: Papéis da B3 avançam, após anúncio de pagamento de JCP",Diminuição,1
2024-12-26 11:53:00,"Bradesco BBI reforça recomendação de compra para os ADRs da Embraer, com preço-alvo a US$ 43",Diminuição,1
2024-12-26 11:53:00,Queda de uma aeronave E190 no Cazaquistão não dever ter impactos significativos nas ações,Diminuição,-1
2024-12-26 11:58:00,"MERCADOS: Bolsa sobe com ações de peso, enquanto juros avançam com fiscal e dolar cai após leilão",Aumento,-1
2024-12-26 12:34:00,Reação aos pedidos de auxílio-desemprego dos EUA,Diminuição,-1
2024-12-26 12:34:00,Bloomberg Economics/Eliza Winger: O aumento de pedidos contínuos mostra que o mercado de trabalho está desacelerando,Diminuição,-1
2024-12-26 12:43:00,EMPRESAS: Bancos sobem em bloco após resolução do CMN,Diminuição,-1
2024-12-26 13:06:00,EMPRESAS: IRB lidera altas depois de papel ter entrado em várias carteiras,Aumento,1
2024-12-26 13:08:00,"Ibovespa na máxima do dia em 121.448,30 pontos (0,56%)",Aumento,1
2024-12-26 13:14:00,EMPRESAS: Eletrobras conclui modernização de subestação no RS,Diminuição,1
2024-12-26 13:27:00,EMPRESAS: Caixa Seguridade fica entre as maiores baixas do Ibovespa,Aumento,-1
2024-12-26 13:29:00,"Ministério do Trabalho altera horário de divulgação do Caged para as 10h, amanhã",Aumento,-1
2024-12-26 13:29:00,"Inicialmente, dado seria publicado à tarde",Aumento,-1
2024-12-26 13:29:00,"Äs 10h, o secretário-executivo Francisco Macena comentará os números",Aumento,-1
2024-12-26 13:39:00,Investidor local deixa de apostar no real pela 1a vez desde março de 2023,Aumento,-1
2024-12-26 13:48:00,Padilha: Expectativa é concluir a votação do Orçamento de 2025 até março,Aumento,-1
2024-12-26 13:52:00,Padilha sobre emendas: AGU nos orientou a manter cumprimento das decisões de Dino,Diminuição,-1
2024-12-26 13:55:00,Padilha sobre reforma do imposto sobre a renda: Debate deve acontecer ao longo de 2025,Diminuição,-1
2024-12-26 13:55:00,Votação sobre o tema - inclusive isenção do IR sobre até R$ 5 mil - deve ocorrer ao longo de 2025,Diminuição,-1
2024-12-26 13:55:00,Reforma vai ser neutra em termos de carga tributária,Diminuição,-1
2024-12-26 13:56:00,Padilha: Lula fará tudo para combinar responsabilidade social com fiscal,Aumento,-1
2024-12-26 14:02:00,Padilha: Mudança em ministérios podem ocorrer de olho em 2026,Aumento,-1
2024-12-26 14:10:00,Receita e Tesouro não têm datas para divulgar arrecadação e primário de novembro,Diminuição,-1
2024-12-26 14:12:00,"Bolsas de NY viram e registram ligeira alta: Dow Jones 0,13%, S P 500 0,08% e Nasdaq 0,07%",Aumento,1
2024-12-26 14:34:00,"Tesouro: Dívida Pública Federal (DPF) fecha em R$ 7,204 trilhões em novembro, alta de 1,85% sobre outubro",Aumento,1
2024-12-26 14:34:00,"DPMFi sobe 1,71% para R$ 6,863 trilhões",Aumento,1
2024-12-26 14:34:00,"DPFe aumenta 4,78% em novembro ante outubro, a R$ 340,76 bilhões",Aumento,1
2024-12-26 14:36:00,EMPRESAS: Brava Energia amplia ganhos e se destaca entre as maiores altas,Aumento,1
2024-12-26 14:48:00,"Tesouro: Dívida Pública Federal (DPF) sobe 1,85% em novembro sobre outubro, para R$ 7,204 trilhões",Diminuição,1
2024-12-26 14:49:00,"BC: Fluxo cambial total na 3a semana de dezembro (16 a 20/12) foi negativo em US$ 11,639 bilhões",Diminuição,1
2024-12-26 14:51:00,"Taxa Ptax fecha em alta de 0,07%, a R$ 6,1656",Diminuição,1
2024-12-26 15:08:00,"MERCADOS: Crise das emendas elevam DIs; em NY, bolsas oscilam entre pequenas perdas e ganhos",Diminuição,-1
2024-12-26 15:11:00,Tesouro/Roberto Lobarinhas: Tendência é que indicadores da dívida terminem 2024 dentro das bandas do PAF,Diminuição,-1
2024-12-26 15:11:00,DPF teve aumento expressivo com valorização do dolar,Diminuição,1
2024-12-26 15:14:00,Cobre fecha em alta após China ter projeções de crescimento elevadas pelo Banco Mundial,Diminuição,1
2024-12-26 15:14:00,"Na Comex, contrato março subiu 0,43%, a US$ 4,1275 por libra-peso",Diminuição,1
2024-12-26 15:14:00,"Na LME, contrato de 3 meses tinha alta, há pouco, de 0,34%, a US$ 8.967/t",Diminuição,1
2024-12-26 15:27:00,"Com saída recorde em dezembro, fluxo cambial fica negativo no ano",Aumento,-1
2024-12-26 15:33:00,"Prefeito de SP, Ricardo Nunes (MDB), anuncia aumento da passagem de onibus na cidade, para R$ 5",Aumento,-1
2024-12-26 15:33:00,Nova tarifa vale a partir de 6 de janeiro,Aumento,-1
2024-12-26 15:42:00,Relator diz que decisão de Dino sobre emendas torna aprovação do Orçamento mais delicada,Diminuição,-1
2024-12-26 15:46:00,MERCADOS: Ouro fecha em alta com geopolítica e queda do dolar,Diminuição,1
2024-12-26 16:07:00,Banco Mundial eleva projeções para o PIB da China em 2024 e 2025,Diminuição,1
2024-12-26 16:16:00,"Terra Investimentos: Reajuste de onibus em SP afeta IPCA 2025 em 0,03pp",Diminuição,-1
2024-12-26 16:16:00,Lula e Lira estão reunidos no Alvorada em meio ao impasse das emendas - Fontes do Broadcast,Diminuição,-1
2024-12-26 16:18:00,EMPRESAS: Caixa Seguridade amplia perdas sob influência da expectativa por follow-on,Aumento,1
2024-12-26 16:25:00,"Governo não vai recorrer de decisão de Dino que suspendeu pagamento de R$ 4,2 bi em emendas",Diminuição,-1
2024-12-26 16:50:00,EMPRESAS: Judicialização no setor de saúde já custou quase R$ 3 bi a operadoras,Diminuição,-1
2024-12-26 16:53:00,"Petróleo/fechamento: Brent para fevereiro cai 0,43%, a US$ 73,26 por barril, na ICE",Diminuição,-1
2024-12-26 16:53:00,"WTI para fevereiro recua 0,68%, a US$ 69,62 por barril, na Nymex",Diminuição,1
2024-12-26 16:55:00,MERCADOS: Petróleo fecha em queda com aumento nos pedidos de auxílio-desemprego nos EUA,Diminuição,1
2024-12-26 17:01:00,"dolar à vista fecha com queda de 0,09%, a R$ 6,1794, após oscilar entre R$ 6,1469 e R$ 6,1979",Diminuição,1
2024-12-26 17:04:00,MERCADOS: dolar fecha com queda discreta após leilão do BC,Aumento,-1
2024-12-26 17:39:00,"Tarifa dos trens e Metro em SP sobe de R$ 5 para R$ 5,20 a partir de 6 de janeiro de 2025, informa governo do Estado",Aumento,-1
2024-12-26 17:39:00,"Mais cedo, Prefeitura de SP informou que onibus sobe de R$ 4,40 para R$ 5",Aumento,-1
2024-12-26 17:50:00,Mudança contábil que pode custar R$ 38 bi aos bancos ganha implementação gradual,Aumento,-1
2024-12-27 09:00:00,"IPCA-15 sobe 0,34% em dezembro; no ano alta é de 4,71%",Aumento,1
2024-12-27 09:01:00,"PNAD Contínua: desemprego é de 6,1%% no trimestre encerrado em novembro. no consenso",Aumento,1
2024-12-27 09:03:00,"IPCA-15 fica em 0,34% em dezembro e fecha 2024 em 4,71%",Aumento,1
2024-12-27 09:05:00,"dolar sobe a R$ 6,2014 (0,36%) e dolar futuro a R$ 6,2030 (0,23%)",Diminuição,1
2024-12-27 09:05:00,Juros futuros sobem,Diminuição,-1
2024-12-27 09:05:00,"Ibovespa futuro cede a 122.445 pontos (-0,14%)",Diminuição,1
2024-12-27 09:30:00,MERCADOS: dolar sobe com emergentes e puxa juros longos com fiscal no radar,Diminuição,-1
2024-12-27 09:31:00,EMPRESAS: Embraer vende duas aeronaves militares C-390 Millenium,Diminuição,-1
2024-12-27 09:50:00,EMPRESAS: Brava Energia afirma que não recebeu propostas por ativos onshore,Aumento,-1
2024-12-27 10:01:00,Caged: Saldo líquido de emprego formal no Brasil é de 106.625 vagas em novembro,Diminuição,1
2024-12-27 10:01:00,Saldo no ano é positivo em 2.224.102 vagas,Diminuição,1
2024-12-27 10:03:00,Mais dados do Caged em novembro:,Aumento,-1
2024-12-27 10:11:00,"Ibovespa encerra os leilões em alta de 0,38%, aos 121.539,13 pontos",Aumento,1
