cleaned_article,label,classification_multi,misclassification_type
recado combina aposta majoritário mercado início relaxamento ficar junho,0,-1,0 misclassified as -1
relatório apontar risco geopolítico guerra rússia ucrânia potencial expansão conflito israel hamas capaz ampliar pressão inflacionário renovar estresse financeiro,0,-1,0 misclassified as -1
setor bancário permanecer sólido resiliente turbulência agudo ano,-1,0,-1 misclassified as 0
galípolo durante palestra evento promover apce andré perfeito consultoria diretor banco central ressaltar receio inflação serviço dizer segurança exatamente pressão,-1,0,-1 misclassified as 0
especial liquidação custódia afirmar faltar informação tatear ser taxa terminal importante forward guidance copom prever corte indicador econômico,1,0,1 misclassified as 0
eventualmente vier acontecer algum mudança orientação política monetário significar necessariamente taxa terminal juro dizer declaração levantar especulação,0,1,0 misclassified as 1
dia galípolo referir forward guidance qualificar último esporte altíssimo risco mercado achar copom tirar plural sinalização corte especial liquidação custódia,0,-1,0 misclassified as -1
recuo perse pressionar lobby setor evento congresso haddad sair reunião lira liderança câmara dizer equipe econômico aceitar voltar ideia acabar perse,-1,0,-1 misclassified as 0
ministro versão restrito programa socorro setor evento ser enviar congresso semana projeto lei urgência constitucional prazo dia apreciar,-1,0,-1 misclassified as 0
pl votar abril vigência medida provisória maio haddad afirmar medida provisória atualmente revogar perse reonerar prefeitura limitar compensação tributário ser mantir,-1,1,-1 misclassified as 1
manutenção estratégico equipe econômico contabilizar aumento receita prever perse bi relatório bimestral avaliação orçamento enviar congresso dia,0,1,0 misclassified as 1
relatório definizer ser necessário bloquear despesa cumprimento meta fiscal zerar déficit conta público receita computar ajudar reduzir contingenciamento,0,-1,0 misclassified as -1
dia ministra simone tebet antecipar bloqueio esperar surpresa positivo arrecadação federal janeiro fevereiro divulgar,-1,1,-1 misclassified as 1
campos neto banco central expressar percepção risco fiscal confiar governo condição entregar déficit primário projeção mercado produto interno bruto,0,-1,0 misclassified as -1
semana negociação líder partidário avançar acordo distribuição comissão temático câmara ajuste mapa colegiado estar descartado,0,-1,0 misclassified as -1
revés governo lula comissão constituição justiça ccj considerar principal colegiar casa ficar comando pl cmo presidir pp saúde tender ficar pt,-1,0,-1 misclassified as 0
tentativa melhorar ambiente congressista lula promover happy hour noite palácio alvorada pacheco senador semana receber deputado,-1,0,-1 misclassified as 0
agenda produção industrial medir instituto brasileiro geografia estatística reverter alta dezembro cair fevereiro mediano pesquisa broadcast intervalo projeção contração expansão,-1,0,-1 misclassified as 0
câmbio monitorar transação corrente previsão déficit bi janeiro saldo negativo bilhão dezembro idp mediana indicar entrada líquido bi,-1,0,-1 misclassified as 0
agenda indicador relatório adp criação vaga emprego setor privado fevereiro acima janeiro eler expectativa mercado payroll,1,0,1 misclassified as 0
sair estoque atacado previsão queda janeiro estoque petróleo doe crescimento milhão barri banco central canadá decidir juro,0,1,0 misclassified as 1
peça ficção china vir choque estímulo analista desconfiado meta pequim produto interno bruto ano cerca poder valer estar superestimado,-1,0,-1 misclassified as 0
recomendação vale rebaixar neutra papel on fechar queda petrobra on pn operar defensiva dividendo,0,-1,0 misclassified as -1
melhora percepção risco fiscal doméstico contribuir tirar prêmio curva,1,-1,1 misclassified as -1
comentário positivo campos neto simone tebet véspera continuar impacto mercado precificação especial liquidação custódia terminal voltar ficar abaixo curva depósito interfinanceiro,1,-1,1 misclassified as -1
outro fator positivo queda expectativa índice nacional preço consumidor amplo focus foco política monetário projeção ter seguir,1,0,1 misclassified as 0
warren ver resultado ruim casa reduzir projeção produto interno bruto causa sucesso parcial medida aumento receita contingenciamento despesa prever ldo,1,0,1 misclassified as 0
fechamento depósito interfinanceiro cair depósito interfinanceiro cair,1,-1,1 misclassified as -1
xepa techs dia bom notícia big techs fato estar comprada ajudar liquidação dia setor derrubar bolsa ny dado fraco estados unidos tirar prêmio juro,0,-1,0 misclassified as -1
dia fuga risco espera mensagem powell congresso payroll,-1,0,-1 misclassified as 0
meta andar volta apagão cerca global facebook instagram empresa creditar problema questão técnico,0,-1,0 misclassified as -1
venda sinal pânico dizer michael sansoterra silvant capital management ajustir movimento normal mercado ser ano forte alta,0,-1,0 misclassified as -1
encomenda indústria cair janeiro ante dezembro pior esperar,1,0,1 misclassified as 0
pmis serviço vier misto acompanhado mercado medido ism recuar fevereiro janeiro previsão,1,0,1 misclassified as 0
produção total petróleo prio atingir barris óleo equivalente dia boepd fevereiro queda janeiro dado preliminar,0,1,0 misclassified as 1
yduqs aprovar emissão debêntur bilhão,0,1,0 misclassified as 1
semana passado investidor começar desconfiar petrobra pagar dividendo extraordinário,0,-1,0 misclassified as -1
ruído vir desencadear tombo ação estatal último dia decepção estar absorvido investidor querer bater petrobra lucro decepcionar,0,-1,0 misclassified as -1
novelão vale expectativa encontro hoje ter sucesso fevereiro administração rachar votação sucessão comando terminar empatar,0,-1,0 misclassified as -1
coincidindo queda popularidade presidente dizer discutir câmara senado limite gasto ir gente utilizar dinheiro benefício,-1,0,-1 misclassified as 0
meta haddad zerar déficit ano seguir desafio bloqueio gasto março descartado relatório bimestral receita despesa de aqui exatamente semana,-1,1,-1 misclassified as 1
pec autonomia financeira banco central relator senador plínio valério otimista tramitação proposta andar independente resistência enfrentar governo,1,-1,1 misclassified as -1
pec apresentar dezembro defender abertamente campos neto entrevista recente folha,1,0,1 misclassified as 0
payroll dramático aceleração dizer capital economics emprego dezembro janeiro mercado esperar baixada bola geração vaga trabalho salário fevereiro estados unidos,-1,0,-1 misclassified as 0
consenso abertura posto trabalho marcar desaceleração janeiro taxa desemprego manter salário médio h avançar janeiro,-1,0,-1 misclassified as 0
ameno ser importante endossar percepção powell fed cortar juro esperar inflação bater meta ciclo desaperto,-1,0,-1 misclassified as 0
sair prévia março concessão crédito livre janeiro captação poupança fevereiro informar banco central fluxo estrada pedagiar fevereiro,0,-1,0 misclassified as -1
ano milhão emprego criar estados unidos inflação cair baixo mundo biden prometer reduzir déficit federal trilhão,0,-1,0 misclassified as -1
guillen orientação política monetário especial liquidação custódia terminal trazer ruído sinal,0,-1,0 misclassified as -1
copom manter sinalização plural corte juro mudança comunicação contratado avaliação economista andré perfeito broadcast,0,1,0 misclassified as 1
pressão inflação serviço apressar banco central desobrigar repetir dose queda especial liquidação custódia reunião maio acreditar economista projetar especial liquidação custódia terminal dígito acima focus,0,-1,0 misclassified as -1
analistas citi estimar juro ciclo relaxamento monetário copom preferir bancar conservadorismo desafio processo levar inflação volta meta,0,-1,0 misclassified as -1
resultado primário positivo divulgar banco central ano ficar acima expectativa,1,-1,1 misclassified as -1
acompanhando baixa moeda dólar vista fechar leve queda,1,-1,1 misclassified as -1
longo discurso praticamente reprise dia anterior câmara mensagem powell destacar audiência senado estar termos confiança inflação cortar juro,-1,0,-1 misclassified as 0
powell observar corte começar ano acrescentar fed consciente risco reduzir juro,-1,0,-1 misclassified as 0
ter citar data declaração reforçar aposta corte junho,0,-1,0 misclassified as -1
teremos pouco dado abril junho embasar política monetário dizer entrevista comentar decisão bce reduzir projeção inflação,0,1,0 misclassified as 1
powell ter fazer dia lagarde reafirmar corte juro zona euro vir inflação batar meta,0,-1,0 misclassified as -1
retorno note ano caíir note ano cediar juro ano subiar,0,-1,0 misclassified as -1
câmbio índice dólar dxy queda expressivo dia seguir,0,-1,0 misclassified as -1
lagarde descartar queda juro abril euro avançar libra subir,-1,0,-1 misclassified as 0
expectativa mudança política monetário juro negativo japão render dia forte alta iene,0,-1,0 misclassified as -1
reportagem folha domingo foco governo interlocutor sinal fiscal forte especial liquidação custódia voltar dígito recuperar imagem lula,-1,0,-1 misclassified as 0
equipe econômico considerar ideal corte adicional juro março maio junho tentativa garantir ambiente propício copom continuar derrubar taxa esbarra inflação,-1,0,-1 misclassified as 0
indicador pegar mercado alerta banco central preço serviço trazer insegurança estar trás intenção levantar galípolo guillen abandonar forward guidance,-1,0,-1 misclassified as 0
mudança linguagem preparario espírito investidor corte pequeno especial liquidação custódia semestre poder abalar convicção especial liquidação custódia terminal abaixo dígito levantamento focus,1,0,1 misclassified as 0
rumor mudança regra jogo esvaziar alívio comentário prate dividendo extraordinário retir ser utilizar investimento pagar dívida,0,1,0 misclassified as 1
prate negar pressão governo dividendo pagar dívida investir falso notícia andar susto desaparecer reserva divider hora volta,0,-1,0 misclassified as -1
estrago percepção investidor feito abrir crise credibilidade choque decisão dividendo papel petrobras sofrer onda rebaixamento banco abaixo,-1,0,-1 misclassified as 0
bofa decisão estatal pagar dividendo extraordinário eleva percepção risco empresa particularmente influência governo principal decisão alocação capital,-1,0,-1 misclassified as 0
união principal acionista empresa beneficiário de esse montante ajudar equilíbrio conta público,1,0,1 misclassified as 0
administração governo rejeitar proposta distribuição dividendo extraordinário temor petroleira ficar dinheiro suficiente caixa,0,-1,0 misclassified as -1
vale estadão sábado fonte temer listar tríplice possível sucessor ceo ser jogo carta marcar governo lula representar previ pressionar troca comando,0,-1,0 misclassified as -1
vetos planalto adiar semana passado amanhã reunião parlamentar comissão mista orçamento tratar impasse torno veto fazer presidente lula ldo,1,0,1 misclassified as 0
assunto vinhr gerar pressão parlamentar distensionar governo ceder cumprir calendário pagamento emenda previsto projeto decisão veto sair dia,1,-1,1 misclassified as -1
existe entendimento ser alterar publicação relatório bimestral receita despesa,0,-1,0 misclassified as -1
payroll abaixo reforçar junho início corte juro estados unidos sinalizar ciclo total relaxamento monetário foco atenção voltar inflação índice preço consumidor amanhã,-1,0,-1 misclassified as 0
ppi venda varejo sair produção industrial fevereiro índice atividade industrial empire state março expectativa inflação ano medir univ michigan,-1,0,-1 misclassified as 0
banho sangue rumor haver pressão direto presidente lula petrobras segurar pagamento dividendo extraordinário piorar prometir imposto renda bolsa doméstico,0,-1,0 misclassified as -1
vale recuar linha queda minério ferro dalian,-1,0,-1 misclassified as 0
entrevista bloomberg prestigiada cathie wood ark afirmar ação fabricante chip sujeita liquidação correção movimento alta longo prazo dizer,0,1,0 misclassified as 1
correção techs bolsa ler positivo payroll fevereiro chegar subir,1,-1,1 misclassified as -1
estados unidos criar emprego acima esperado dado dezembro janeiro revisar total emprego,1,0,1 misclassified as 0
acima emprego crescer pressão salário salário médio h subir janeiro abaixo esperar comparação anual haver ganhar inferior previsão,-1,0,-1 misclassified as 0
fed boys seguir discurso conservador john williams ny dizer mercado trabalho segar apertar auge expectativa inflação ter recuo modesto,-1,0,-1 misclassified as 0
resultado misto payroll resultar treasuries direção único retorno note ano cair,0,1,0 misclassified as 1
dado razão fed pressa cortar juro yield note ano subir ano avançar,1,-1,1 misclassified as -1
libra subir euro cair efeito estagnação produto interno bruto zona euro ante força argumento bce precisar cortar juro,0,-1,0 misclassified as -1
olli rehn afirmar risco cortar juro diminuir significativamente robert holzmann dizer corte ser preparar,0,-1,0 misclassified as -1
vale aprovar convocação assembleias gerais ordinária extraordinária,0,-1,0 misclassified as -1
sinal claro interferência planalto gestão empresa permitir ação recuper perda acumular último petrobra cair balanço decisão dividendo,-1,0,-1 misclassified as 0
presidente lula abrir mão recuperar política superinvestimento petrobras confirmar entrevista sbt manter fator incerteza investidor temer ocorrer governo dilma,-1,0,-1 misclassified as 0
haddad silveira dizer dividendo extraordinário ficar caixa petrobra guardado conta remunerar ter distribuição prejudique plano investimento empresa,-1,0,-1 misclassified as 0
lei veda uso de esse recurso investimento governo achar buscar brecha pequeno caixa robusto solidez indicador empresa facilitar financiamento investir,0,1,0 misclassified as 1
prova ingerência político companhia fala lula sbt afirmar conversa sério direção petrobras ir baixar preço combustível gás cozinha,-1,0,-1 misclassified as 0
acumulado aposta indicar desaceleração abaixo teto meta,1,0,1 misclassified as 0
banco central chamar particular atenção pressão serviço acelerar contrapartida preço serviço subjacente indicar tendência perder fôlego,-1,0,-1 misclassified as 0
índice nacional preço consumidor amplo potencial influência expectativa comunicado copom banco central ver adequada redução taxa especial liquidação custódia próximo reunião plural março maio,-1,0,-1 misclassified as 0
citar dinâmica inflação serviço itaú elevar projeção especial liquidação custódia,-1,0,-1 misclassified as 0
investida populisto recuperar popularidade pesquisa lula dizer encomendar ministro agricultura carlos fávaro conab conjunto medida reduzir preço alimento,0,-1,0 misclassified as -1
meta fiscal técnicos governo ouvir exame afirmar equipe econômico estimar déficit fiscal equivalente produto interno bruto invés relatório bimestral receita despesa sair dia,-1,1,-1 misclassified as 1
previsão contrariar consenso mercado mudança meta ficar maio,-1,0,-1 misclassified as 0
perse governistas trabalhar projeto lei tratar programa emergencial setor evento ser autoria congresso executivo acordo fonte ouvir broadcast,-1,0,-1 misclassified as 0
decisão ser costurar líder base palácio planalto câmara saída governo ganhar encontrar compensar perda arrecadatório medida,-1,0,-1 misclassified as 0
comentário especulação traders elevação juro boj reunião política monetário semana colocar longo período política ultraflexível,0,-1,0 misclassified as -1
argentina banco central cortar juro ano anunciar eliminar taxa pequeno prazo fixo,0,-1,0 misclassified as -1
chorar sabotadas lula ação petrobras embarcar devolver reta pregão tentativa reação observar tombo último,-1,0,-1 misclassified as 0
papel on afundar pn perder dar culpar petróleo fechar estável brent maio subir barril ice wti abril recuar,-1,0,-1 misclassified as 0
vale ajudar derrubar índice sentir queda quase minério ferro cingapura dalian notícia estoque par crescer china,-1,0,-1 misclassified as 0
banco polêmica renovar ingerência político petrobras banco brasil novamente único fechar vermelho santander unit ficar estável itaú subir,0,1,0 misclassified as 1
positivo petroleum beneficiar troca intrasetorial alta pregão petroreconcavo subir prio avançar,0,-1,0 misclassified as -1
contramão rendimento treasuries certo ajuda câmbio juro futuro fechar queda,1,0,1 misclassified as 0
retorno depósito interfinanceiro cair depósito interfinanceiro,1,-1,1 misclassified as -1
preocupação cenário fiscal segurar recuo percepção governo aumento arrecadação elevar gasto,0,1,0 misclassified as 1
produto interno bruto itaú reduzir projeção déficit primário ano produto interno bruto sair déficit,0,1,0 misclassified as 1
pé freio setor responsável tecnologia rali recente bolsa ny continuar modo cautela repique inflação americano janeiro pontual,0,1,0 misclassified as 1
treasuries toada mesmo prudência índice preço consumidor curto subir mercado posicionar dado,-1,0,-1 misclassified as 0
aposta aperto aumentar revisão produto interno bruto japão margem evitar recessão técnico,0,1,0 misclassified as 1
ccr tráfego veículo rodovia subir fevereiro comparação anual,0,1,0 misclassified as 1
unipar informar resposta cvm interação eventual parceiro adquirir ativo estados unidos evoluír significativo considerar estágio avaliação viabilidade potencial transação,0,1,0 misclassified as 1
documento definizer ser necessário bloquear despesa cumprimento meta fiscal zerar déficit conta público receita computar ajudar reduzir contingenciamento,0,-1,0 misclassified as -1
decisão estratégico medida provisória atualmente revogar perse reonerar prefeitura ser mantir equipe econômico contabilizar aumento receita prever apesar tema ser enviar pl,0,1,0 misclassified as 1
entendimento governo congresso analisar relatório bimestral veto lula bi emenda comissão esforço equipe econômico limitar contingenciamento,-1,1,-1 misclassified as 1
consulta tribunal planejamento estimar regra prever ldo limitar bloqueio bi cerca bi mercado estimar necessário cumprimento meta,-1,1,-1 misclassified as 1
mercado consenso meta fiscal ser mudar alteração ficar relatório bimestral maio governo ter clareza situação conta,-1,0,-1 misclassified as 0
ficar ansiedade ar haddad continuar bancar promessa sobrevida déficit melhora percepção fiscal início ano fazenda dar algum choque imediato realidade,-1,0,-1 misclassified as 0
mercado continuar colocar dúvida capacidade governo arrecadar necessário atingir meta déficit ano tesouro turbinar projeção receita relatório divulgar,-1,0,-1 misclassified as 0
semana passado informar devido fato ano eleitoral fazenda adiar envio plano reforma tributário renda tratar item cobrança imposto renda dividendo,0,-1,0 misclassified as -1
economista duvidar banco central encerrer ciclo corte atingir retirada forward guidance deixa copom cortar maio parar cortar junho julho,-1,0,-1 misclassified as 0
galípolo guillen andar telegrafar compromisso corte especial liquidação custódia quebrar algum avaliação banco,-1,0,-1 misclassified as 0
mercado prever avanço dezembro projeção broadcast queda alta base anualizar dado avançar mediana dezembro,0,-1,0 misclassified as -1
inflação sair hoje cair março cair fevereiro perda ímpeto deflação preço agropecuário produtor,0,-1,0 misclassified as -1
captações governo pedir senado ampliação bilhão bilhão bilhão teto estabelecer emissão título público exterior informar estadão,-1,0,-1 misclassified as 0
rússia vitória putin mandato domingo levantar contestação estados unidos ucrânia,0,-1,0 misclassified as -1
cenário singular aversão risco exterior dar surpreendentemente forte atividade doméstico pesar juro dólar índice bovespa,0,-1,0 misclassified as -1
dia anterior estados unidos divulgar ppi acima esperar investidor estar ajustar posição cenário corte juro estados unidos,0,-1,0 misclassified as -1
varejo brasileiro surpreender serviço ficar acima esperar janeiro ante dezembro dado dezembro ajustar alta,0,1,0 misclassified as 1
colocar viés alta projeção produto interno dar força debate mudança forward guidance copom substituição plural singular próximo reunião,0,1,0 misclassified as 1
caso atividade continuar surpreender visão ver especial liquidação custódia abaixo consenso mercado mudar,0,-1,0 misclassified as -1
dólar acompanhar clima ruim testar teto grande dia pressão diminuir expectativa copom conservador favorecer carry trade,-1,1,-1 misclassified as 1
declaração empresa josé luciano duarte penido haver interferência político processo sucessão eduardo bartolomeo continuar pesar,-1,0,-1 misclassified as 0
semana brent subir wti alta,-1,0,-1 misclassified as 0
casas bahia cair lojas renner baixar,0,-1,0 misclassified as -1
espera fed percepção fed indicar ritmo corte juro semana continuar pressionar bolsa ny abastecer rodada alta juro treasuries,0,-1,0 misclassified as -1
dado janeiro revisar,0,-1,0 misclassified as -1
leitura preliminar índice sentimento consumidor estados unidos cair fevereiro março expectativa avanço,0,-1,0 misclassified as -1
expectativa inflação vir cair ficar seguir ano,0,-1,0 misclassified as -1
lombard odier asset dado apontar economia fraco preço desaceler ritmo lento último dia mercado preferir abraçar narrativa inflação,0,-1,0 misclassified as -1
ny peso alta retorno treasuries techs recuar nasdaq perder dow jones cair recuar,0,-1,0 misclassified as -1
treasuries juro note ano avançar note ano subir ano cair,1,-1,1 misclassified as -1
x antigo twitter presidente petrobras jean paul prates voltar defender noite exploração petróleo margem equatorial litoral norte brasil elemento fundamental transição energético,0,-1,0 misclassified as -1
vale presidente substituir eduardo bartolomeo acionista representativo mineradora,1,0,1 misclassified as 0
aéreas governo rever proposta socorro discutir agenda setor envolver crédito investimento sustentável mudança regulatório diminuir grau judicialização abrir mercado interno companhia estrangeiro,0,1,0 misclassified as 1
inspira rede educação básico brasil receber investimento bilhão advent fundo americano private equity oferta inicial ação ipo,0,1,0 misclassified as 1
